 
ID01,Abdul,91,70,68,97,80
ID02,Andi,78,67,69,89,70
ID03,Budi,88,73,80,83,83
ID04,Dika,94,70,85,68,86
ID05,Dojo,68,68,76,74,76
ID06,Ilham,95,95,98,89,73
ID07,Jono,95,75,74,69,76
ID08,Nana,99,98,98,98,99
ID09,Niko,70,70,69,69,68
ID10,Nina,91,87,86,74,70
ID11,Paijo,94,99,97,69,70
ID12,Parno,80,71,80,78,83
ID13,Riski,75,69,69,90,75
ID14,Rita,78,70,69,80,80
ID15,Sholeh,77,88,70,76,69
ID16,Sinta,88,89,88,79,78
ID17,Siti,69,70,72,69,88
ID18,Tina,80,84,77,83,74
ID19,Toni,69,75,74,68,77
ID20,Yusuf,82,69,70,69,70
